game_ID,bookie,matchup_type,Home_Team,Spread1,line1,Away_Team,Spread2,line2,game_time,last_updated
63e9b5302666e36b47431100bcb22973,FanDuel,spreads,Cincinnati Bengals,-6.5,-105,Cleveland Browns,6.5,-115,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
63e9b5302666e36b47431100bcb22973,MyBookie.ag,spreads,Cincinnati Bengals,-6.0,-110,Cleveland Browns,6.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:40:10Z
63e9b5302666e36b47431100bcb22973,BetOnline.ag,spreads,Cincinnati Bengals,-6.0,-108,Cleveland Browns,6.0,-112,2024-10-20T17:00:00Z,2024-10-16T17:45:41Z
63e9b5302666e36b47431100bcb22973,LowVig.ag,spreads,Cincinnati Bengals,-6.0,-103,Cleveland Browns,6.0,-107,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
63e9b5302666e36b47431100bcb22973,BetRivers,spreads,Cincinnati Bengals,-6.0,-114,Cleveland Browns,6.0,-108,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
63e9b5302666e36b47431100bcb22973,Bovada,spreads,Cincinnati Bengals,-6.0,-110,Cleveland Browns,6.0,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
497242e77fc7f2e1fa4cc70a2bd37b20,DraftKings,spreads,Detroit Lions,2.5,-110,Minnesota Vikings,-2.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:46:18Z
497242e77fc7f2e1fa4cc70a2bd37b20,Caesars,spreads,Detroit Lions,2.5,-110,Minnesota Vikings,-2.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:43:46Z
497242e77fc7f2e1fa4cc70a2bd37b20,FanDuel,spreads,Detroit Lions,2.5,-115,Minnesota Vikings,-2.5,-105,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
497242e77fc7f2e1fa4cc70a2bd37b20,MyBookie.ag,spreads,Detroit Lions,2.5,-110,Minnesota Vikings,-2.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:40:10Z
497242e77fc7f2e1fa4cc70a2bd37b20,LowVig.ag,spreads,Detroit Lions,2.5,-105,Minnesota Vikings,-2.5,-105,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
497242e77fc7f2e1fa4cc70a2bd37b20,BetOnline.ag,spreads,Detroit Lions,1.0,105,Minnesota Vikings,-1.0,-125,2024-10-20T17:00:00Z,2024-10-16T17:45:41Z
497242e77fc7f2e1fa4cc70a2bd37b20,BetRivers,spreads,Detroit Lions,2.5,-110,Minnesota Vikings,-2.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
497242e77fc7f2e1fa4cc70a2bd37b20,BetUS,spreads,Detroit Lions,1.0,100,Minnesota Vikings,-1.0,-120,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
497242e77fc7f2e1fa4cc70a2bd37b20,BetMGM,spreads,Detroit Lions,2.5,-110,Minnesota Vikings,-2.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
497242e77fc7f2e1fa4cc70a2bd37b20,Bovada,spreads,Detroit Lions,2.5,-110,Minnesota Vikings,-2.5,-110,2024-10-20T17:00:00Z,2024-10-16T17:45:42Z
15077c31238fbc767b91e73f8068f2a2,DraftKings,spreads,Green Bay Packers,-2.5,-122,Houston Texans,2.5,102,2024-10-20T17:00:00Z,2024-10-16T17:46:18Z
